#Programa,Nombre de Programa,Stored Procedure
577,Asiento Ingreso Banco / APL BD,USP_ADM_ASIENTO_INGRESO_BANCO
577,Asiento Ingreso Banco / APL BD,USP_ASIENTO_INGRESO_BANCO
578,Asiento Aplicacion Pasivos,USP_ADM_ASIENTO_APLICACION_PASIVOS
578,Asiento Aplicacion Pasivos,USP_ASIENTO_APLICACION_PASIVOS
579,Asiento Rendicion Gastos,USP_ADM_ASIENTO_RENDICION_GASTO
579,Asiento Rendicion Gastos,USP_ASIENTO_RENDICION_GASTO
580,Asiento Giro Financiado,USP_ADM_ASIENTO_PASIVO
581,Asiento Gastos Vinculados,USP_ADM_ASIENTO_GASTOS_VINCULADOS
581,Asiento Gastos Vinculados,USP_ASIENTO_GASTOS_VINCULADOS
582,Asiento Compras Locales,PR_ERP_FNZ_QRY_GN_ASIENTODOCUMENTOFINANCIERO
582,Asiento Compras Locales,USP_ADM_ASIENTO_COMPRAS_LOCALES
582,Asiento Compras Locales,USP_ADM_ASIENTO_FACTURA_IMPORTACION
582,Asiento Compras Locales,USP_ASIENTO_COMPRAS_LOCALES
583,Asiento Compras Importacion,USP_ADM_ASIENTO_COMPRAS_IMPORTACION
583,Asiento Compras Importacion,USP_ASIENTO_COMPRAS_IMPORTACION
584,Asiento Ingreso Compras,PR_ERP_FNZ_QRY_GN_ASIENTOCONSUMOALMACEN
584,Asiento Ingreso Compras,PR_ERP_FNZ_QRY_GN_ASIENTOCOSTOIMPORTACION
584,Asiento Ingreso Compras,PR_ERP_FNZ_QRY_GN_ASIENTOCOSTOIMPORTACION
584,Asiento Ingreso Compras,USP_ADM_ASIENTO_COMPRAS
584,Asiento Ingreso Compras,USP_ADM_ASIENTO_COMPRAS
584,Asiento Ingreso Compras,USP_ASIENTO_COMPRAS
584,Asiento Ingreso Compras,USP_ASIENTO_COMPRAS
584,Asiento Ingreso Compras,USP_CTB_ASIENTO_CONSUMO_ALM_NEW
584,Asiento Ingreso Compras,USP_CTB_ASIENTO_INGRESO_ALM
585,Asiento Valores Estimados,PR_ERP_FNZ_QRY_GN_ASIENTOESTIMADO
585,Asiento Valores Estimados,USP_ADM_ASIENTO_ESTIMADO
585,Asiento Valores Estimados,USP_ASIENTO_ESTIMADO
586,Asiento Reversion Estimados,PR_ERP_FNZ_QRY_GN_ASIENTOREVERSIONESTIMADO
586,Asiento Reversion Estimados,USP_ADM_ASIENTO_REVERSION_ESTIMADO
586,Asiento Reversion Estimados,USP_ASIENTO_REVERSION_ESTIMADO
587,Asiento Compras Anticipo,USP_ADM_ASIENTO_COMPRAS_ANTICIPO
587,Asiento Compras Anticipo,USP_ASIENTO_COMPRAS_ANTICIPO
588,Asiento Impuesto Diferido,USP_ADM_ASIENTO_IMPUESTO_DIFERIDO
589,Asiento Compras Sunat,USP_ADM_ASIENTO_COMPRAS_LOCALES_SUNAT
590,Asiento Caja Ingresos,PR_ERP_FNZ_QRY_GN_ASIENTOINGRESOCAJAREVERSION
590,Asiento Caja Ingresos,USP_ADM_ASIENTO_INGRESO_CAJA
590,Asiento Caja Ingresos,USP_ASIENTO_INGRESO_CAJA
591,Asiento Caja Egresos,PR_ERP_FNZ_QRY_GN_ASIENTOEGRESOCAJAREVERSION
